Track ID,Track Name,Artist,Album,Duration (ms),Popularity,Year,Explicit Content,Danceability,Energy,Loudness,Speechiness,Genre
44Ljlpy44mHvLJxcYUvTK0,Chocolate,The 1975,The 1975,224640,66,2013,0,0.591,0.94,-4.341,0.0522,"modern alternative rock, modern rock, pop, pov: indie, rock"
3Z1kZKYfRC8iRXnYeC5sCJ,Everything Has Changed,Taylor Swift,Red (Big Machine Radio Release Special),245413,65,2012,0,0.624,0.458,-6.755,0.0287,pop
01uqI4H13Gsd8Lyl1EYd8H,Same Love (feat. Mary Lambert),Macklemore & Ryan Lewis,The Heist,318525,65,2012,0,0.688,0.473,-9.059,0.167,"pop rap, seattle hip hop"
2QD4C6RRHgRNRAyrfnoeAo,Play Hard (feat. Ne-Yo & Akon),David Guetta,Nothing but the Beat 2.0,201000,65,2011,0,0.691,0.921,-1.702,0.0535,"big room, dance pop, edm, pop, pop dance"
6TwfdLbaxTKzQi3AgsZNzx,Daylight,Maroon 5,Overexposed (Deluxe),225306,65,2012,0,0.657,0.679,-5.511,0.0269,pop
0yz2J4wsXFCjMjpJ6A74yV,Fine China,Chris Brown,X (Expanded Edition),213200,64,2014,0,0.654,0.731,-4.767,0.0568,"r&b, rap"
7BNDyzwDboNRR2wmd7GSew,Of The Night,Bastille,All This Bad Blood,214205,63,2013,0,0.67,0.829,-7.2,0.0427,"metropopolis, modern rock, pop"
1zVhMuH7agsRe6XkljIY4U,human,Christina Perri,human,250706,63,2013,0,0.439,0.489,-6.286,0.0368,pop
1D4XFKolp63mNqqMXJJL1V,Wings,Birdy,Fire Within,252106,62,2013,0,0.474,0.707,-4.534,0.0253,"neo mellow, uk pop"
52gvlDnre9craz9dKGObp8,La La La,Naughty Boy,La La La,220779,62,2013,0,0.754,0.677,-4.399,0.0316,uk contemporary r&b
5BhsEd82G0Mnim0IUH6xkT,Cruise,Florida Georgia Line,Here's To The Good Times,208960,62,2012,0,0.457,0.948,-3.364,0.0354,"contemporary country, country, country pop, country road, modern country rock"
1oHxIPqJyvAYHy0PVrDU98,Drinking from the Bottle (feat. Tinie Tempah),Calvin Harris,18 Months,240346,62,2012,0,0.665,0.886,-4.175,0.0514,"dance pop, edm, electro house, house, pop, pop dance, progressive house, uk dance"
5FljCWR0cys07PQ9277GTz,The Other Side,Jason Derulo,Talk Dirty,226986,62,2013,0,0.561,0.836,-3.939,0.1,"dance pop, pop"
0s0JMUkb2WCxIJsRB3G7Hd,Dear Darlin',Olly Murs,Right Place Right Time (Expanded Edition),206373,62,2012,0,0.512,0.828,-4.672,0.0454,"dance pop, pop, talent show"
60nZcImufyMA1MKQY3dcCH,"Happy - From ""Despicable Me 2""",Pharrell Williams,G I R L,232720,83,2014,0,0.647,0.822,-4.662,0.183,"dance pop, pop"
5Sf3GyLEAzJXxZ5mbCPXTu,Waves - Robin Schulz Radio Edit,Mr. Probz,Waves (Robin Schulz Radio Edit),208133,3,2014,0,0.829,0.51,-9.334,0.0369,pop dance
2GgxS8bUT5G25QJTsfSv0R,Burn,Ellie Goulding,Halcyon Days,231211,69,2014,0,0.559,0.777,-5.031,0.0432,"indietronica, metropopolis, pop, uk pop"
2j3iuup8OrBpXyf2F967Rb,Are You with Me - Radio Edit,Lost Frequencies,Less Is More,138842,0,2016,0,0.776,0.574,-9.882,0.0317,"belgian edm, edm, pop dance, tropical house"
5BJSZocnCeSNeYMj3iVqM7,Love Runs Out,OneRepublic,Native,224226,65,2014,0,0.719,0.935,-3.752,0.0589,"piano rock, pop"
5D1swG82nVVngZLHOLbe0V,This Girl (Kungs Vs Cookin' On 3 Burners) - Extended,Kungs,This Girl - EP,242735,53,2016,0,0.8,0.737,-4.325,0.0351,"edm, pop dance, uk dance"
5Nm9ERjJZ5oyfXZTECKmRt,Stay With Me,Sam Smith,In The Lonely Hour,172723,88,2014,0,0.418,0.42,-6.444,0.0414,"pop, uk pop"
1cWepLwVVDgyqxso6G4TQU,Thinking out Loud - Alex Adair Remix,Ed Sheeran,Thinking Out Loud (Alex Adair Remix),182185,44,2014,0,0.828,0.745,-6.717,0.152,"pop, singer-songwriter pop, uk pop"
7b71WsDLb8gG0cSyDTFAEW,Summer,Calvin Harris,Summer,224506,23,2014,0,0.603,0.861,-3.565,0.0325,"dance pop, edm, electro house, house, pop, pop dance, progressive house, uk dance"
0Z3mCn46aLOqWjyRI6KfRf,She Moves (Far Away) - Radio Mix,Alle Farben,She Moves (Far Away),183560,44,2014,0,0.816,0.516,-7.804,0.0577,"deep euro house, german dance"
3AeicLnm55RqcXGBKYQolM,King,Olly Alexander (Years & Years),Communion (Deluxe),215360,76,2015,0,0.56,0.857,-4.145,0.0384,"dance pop, gauze pop, pop, pop dance, uk pop"
1eOJAiCKFuMda0fPRvjcuc,Hold My Hand,Jess Glynne,I Cry When I Laugh,227343,63,2015,0,0.642,0.823,-5.717,0.0289,"dance pop, pop, uk pop"
2mCF8L0brIs88eH6Kf2h9p,Fast Car,Jonas Blue,Fast Car,212424,70,2015,0,0.644,0.57,-6.994,0.052,"pop, pop dance, tropical house, uk dance"
6CStWjzxr0BIv3fqbCOXtv,Hero,Family of the Year,Hero,190280,0,2014,0,0.34,0.523,-5.81,0.0265,stomp and holler
4wrTFI5XYcze7OBJ0iMjGk,Chandelier,Sia,Chandelier,216120,22,2014,0,0.286,0.784,-2.873,0.0749,"australian dance, australian pop, pop"
3tCwjWLicbjsMCvXhN0WOE,Rude,MAGIC!,Rude,224773,68,2013,0,0.743,0.807,-3.78,0.0364,"pop, reggae fusion"
2ia7iiEtpiOL2ZVuWxBZGB,I Will Never Let You Down,Rita Ora,I Will Never Let You Down,203466,61,2014,0,0.753,0.801,-3.215,0.0296,"dance pop, pop, uk pop"
6PkzXU8dlwtfrwyTlUyVnv,Show Me Love - EDX Remix / Radio Edit,Sam Feldt,Show Me Love (EDX Remix / Radio Edit),180336,63,2015,0,0.832,0.659,-5.831,0.0677,"edm, pop dance, tropical house"
4B0JvthVoAAuygILe3n4Bs,What Do You Mean?,Justin Bieber,Purpose (Deluxe),205680,84,2015,0,0.845,0.567,-8.118,0.0956,"canadian pop, pop"
2FiceoWDJ67rrmb5tGBpgE,Ghost,Ella Henderson,Ghost,216106,56,2014,0,0.682,0.836,-3.777,0.0424,"dance pop, pop dance, talent show, uk pop"
